id,name,calories,ingredients,cuisine,dietType,cookingTime,protein,fat,carbs,fiber,rating,instructions
470,"Gourmet Lamb Vindaloo #470",452,"Sugar, Cumin, Olive Oil, Rice, Coriander, Pork, Chicken","Indian","Non-Veg",51,25,31,68,5,4.9,"1. Start by prepping the Sugar and Cumin. 2. Heat a large pan with some oil and sauté the Olive Oil. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
471,"Quick Lamb Vindaloo #471",534,"Butter, Chicken, Thyme, Coconut Milk, Cream, Paneer","Indian","Non-Veg",63,16,32,42,6,4.9,"1. Start by prepping the Butter and Chicken. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
472,"Healthy Tandoori Chicken #472",770,"Sugar, Coconut Milk, Garam Masala, Flour, Tomato, Shrimp, Basil, Paneer","Indian","Non-Veg",26,29,26,74,6,4.5,"1. Start by prepping the Sugar and Coconut Milk. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Flour and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
473,"Modern Twist Samosa Chat #473",568,"Carrot, Beans, Chili, Rice, Paneer, Honey","Indian","Non-Veg",36,34,15,53,4,4.1,"1. Start by prepping the Carrot and Beans. 2. Heat a large pan with some oil and sauté the Chili. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
474,"Chef's Special Kadai Chicken #474",581,"Pasta, Chicken, Mushroom, Coriander, Bell Pepper, Flour, Pork, Chili","Indian","Non-Veg",30,30,35,31,3,3.6,"1. Start by prepping the Pasta and Chicken. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Coriander and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
475,"Healthy Pav Bhaji #475",749,"Bell Pepper, Ginger, Garam Masala, Egg, Chili, Sugar, Pork","Indian","Veg",27,21,12,68,13,4.5,"1. Start by prepping the Bell Pepper and Ginger. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
476,"Rustic Butter Chicken #476",641,"Pork, Coriander, Garam Masala, Soy Sauce, Potato","Indian","Non-Veg",31,22,8,60,4,4.3,"1. Start by prepping the Pork and Coriander. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
477,"Chef's Special Palak Paneer #477",676,"Oregano, Chili, Pork, Egg, Basil, Mushroom, Paneer","Indian","Non-Veg",34,37,38,48,12,4.8,"1. Start by prepping the Oregano and Chili. 2. Heat a large pan with some oil and sauté the Pork. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 17 minutes. 5. Garnish with fresh herbs and serve warm."
478,"Homemade Pani Puri #478",265,"Coriander, Flour, Basil, Onion","Indian","Veg",35,22,35,72,8,4.0,"1. Start by prepping the Coriander and Flour. 2. Heat a large pan with some oil and sauté the Basil. 3. Add the Onion and cook until tender. 4. Mix in the remaining ingredients and simmer for 17 minutes. 5. Garnish with fresh herbs and serve warm."
479,"Spicy Hyderabadi Biryani #479",449,"Turmeric, Potato, Mushroom, Yogurt, Lentils, Coriander, Chicken, Honey","Indian","Non-Veg",73,23,36,56,2,5.0,"1. Start by prepping the Turmeric and Potato. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Yogurt and cook until tender. 4. Mix in the remaining ingredients and simmer for 36 minutes. 5. Garnish with fresh herbs and serve warm."
480,"Traditional Palak Paneer #480",112,"Cumin, Turmeric, Carrot, Paneer, Honey, Milk","Indian","Veg",29,15,6,52,12,4.5,"1. Start by prepping the Cumin and Turmeric. 2. Heat a large pan with some oil and sauté the Carrot. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 14 minutes. 5. Garnish with fresh herbs and serve warm."
481,"Spicy Paneer Butter Masala #481",297,"Coriander, Cheese, Beef, Lamb, Bell Pepper, Garam Masala, Lentils, Coconut Milk","Indian","Veg",44,9,5,43,7,3.8,"1. Start by prepping the Coriander and Cheese. 2. Heat a large pan with some oil and sauté the Beef. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
482,"Classic Malai Kofta #482",617,"Lamb, Yogurt, Butter, Carrot, Ginger, Cumin","Indian","Veg",43,21,27,56,3,4.0,"1. Start by prepping the Lamb and Yogurt. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Carrot and cook until tender. 4. Mix in the remaining ingredients and simmer for 21 minutes. 5. Garnish with fresh herbs and serve warm."
483,"Rustic Chicken Tikka Masala #483",177,"Onion, Cumin, Tomato, Sugar, Carrot, Ginger, Spinach, Basil","Indian","Veg",33,19,35,61,12,4.1,"1. Start by prepping the Onion and Cumin. 2. Heat a large pan with some oil and sauté the Tomato. 3. Add the Sugar and cook until tender. 4. Mix in the remaining ingredients and simmer for 16 minutes. 5. Garnish with fresh herbs and serve warm."
484,"Modern Twist Palak Paneer #484",105,"Cream, Butter, Yogurt, Cheese, Rice, Tomato, Olive Oil","Indian","Non-Veg",24,29,38,50,4,3.5,"1. Start by prepping the Cream and Butter. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 12 minutes. 5. Garnish with fresh herbs and serve warm."
485,"Classic Biryani #485",484,"Bell Pepper, Butter, Beans, Potato, Paneer, Cumin, Shrimp","Indian","Veg",41,14,8,74,11,4.7,"1. Start by prepping the Bell Pepper and Butter. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 20 minutes. 5. Garnish with fresh herbs and serve warm."
486,"Rustic Rogan Josh #486",830,"Sugar, Carrot, Bell Pepper, Ginger","Indian","Non-Veg",40,26,31,76,11,4.9,"1. Start by prepping the Sugar and Carrot. 2. Heat a large pan with some oil and sauté the Bell Pepper. 3. Add the Ginger and cook until tender. 4. Mix in the remaining ingredients and simmer for 20 minutes. 5. Garnish with fresh herbs and serve warm."
487,"Chef's Special Chettinad Chicken #487",388,"Beef, Tomato, Sugar, Paneer, Basil, Oregano, Onion, Carrot","Indian","Veg",23,18,36,70,3,4.5,"1. Start by prepping the Beef and Tomato. 2. Heat a large pan with some oil and sauté the Sugar. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 11 minutes. 5. Garnish with fresh herbs and serve warm."
488,"Traditional Rogan Josh #488",670,"Lamb, Beef, Butter, Lemon","Indian","Non-Veg",71,33,24,31,5,3.5,"1. Start by prepping the Lamb and Beef. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Lemon and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
489,"Gourmet Hyderabadi Biryani #489",828,"Olive Oil, Paneer, Sugar, Thyme","Indian","Non-Veg",45,27,38,71,3,4.1,"1. Start by prepping the Olive Oil and Paneer. 2. Heat a large pan with some oil and sauté the Sugar. 3. Add the Thyme and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
490,"Spicy Paneer Butter Masala #490",431,"Thyme, Beans, Paneer, Potato, Garlic","Indian","Veg",55,17,8,59,3,3.9,"1. Start by prepping the Thyme and Beans. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
491,"Healthy Dhokla #491",129,"Yogurt, Cumin, Flour, Shrimp, Beef, Turmeric","Indian","Veg",71,7,13,82,4,4.4,"1. Start by prepping the Yogurt and Cumin. 2. Heat a large pan with some oil and sauté the Flour. 3. Add the Shrimp and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
492,"Classic Pav Bhaji #492",751,"Butter, Beef, Turmeric, Bell Pepper, Shrimp, Lamb, Cream","Indian","Non-Veg",53,28,8,52,5,3.9,"1. Start by prepping the Butter and Beef. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Bell Pepper and cook until tender. 4. Mix in the remaining ingredients and simmer for 26 minutes. 5. Garnish with fresh herbs and serve warm."
493,"Spicy Rogan Josh #493",412,"Sugar, Soy Sauce, Bell Pepper, Flour, Chicken, Pasta, Egg","Indian","Veg",51,22,36,22,2,4.0,"1. Start by prepping the Sugar and Soy Sauce. 2. Heat a large pan with some oil and sauté the Bell Pepper. 3. Add the Flour and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
494,"Modern Twist Baingan Bharta #494",260,"Cream, Soy Sauce, Coconut Milk, Potato","Indian","Veg",44,9,15,58,4,4.2,"1. Start by prepping the Cream and Soy Sauce. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
495,"Rustic Mutter Paneer #495",797,"Paneer, Milk, Oregano, Lamb, Bell Pepper, Chili, Shrimp, Sugar","Indian","Non-Veg",68,37,20,32,12,4.2,"1. Start by prepping the Paneer and Milk. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
496,"Modern Twist Lamb Vindaloo #496",766,"Milk, Turmeric, Chili, Cheese","Indian","Non-Veg",50,24,9,55,10,4.7,"1. Start by prepping the Milk and Turmeric. 2. Heat a large pan with some oil and sauté the Chili. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
497,"Spicy Hyderabadi Biryani #497",685,"Olive Oil, Beans, Lamb, Potato, Spinach, Garlic","Indian","Veg",68,10,35,87,5,5.0,"1. Start by prepping the Olive Oil and Beans. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
498,"Classic Pani Puri #498",237,"Onion, Bell Pepper, Tomato, Carrot, Garlic, Honey, Oregano","Indian","Non-Veg",55,21,28,24,11,4.3,"1. Start by prepping the Onion and Bell Pepper. 2. Heat a large pan with some oil and sauté the Tomato. 3. Add the Carrot and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
499,"Traditional Butter Chicken #499",874,"Honey, Paneer, Coconut Milk, Cream, Carrot, Pasta, Lentils","Indian","Non-Veg",55,23,10,63,10,3.7,"1. Start by prepping the Honey and Paneer. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
500,"Homemade Butter Chicken #500",318,"Spinach, Olive Oil, Rice, Paneer, Ginger, Soy Sauce","Indian","Veg",54,5,7,56,3,4.6,"1. Start by prepping the Spinach and Olive Oil. 2. Heat a large pan with some oil and sauté the Rice. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
501,"Gourmet Samosa Chat #501",126,"Coconut Milk, Olive Oil, Spinach, Chili, Butter, Thyme, Coriander, Milk","Indian","Non-Veg",52,25,32,31,4,4.8,"1. Start by prepping the Coconut Milk and Olive Oil. 2. Heat a large pan with some oil and sauté the Spinach. 3. Add the Chili and cook until tender. 4. Mix in the remaining ingredients and simmer for 26 minutes. 5. Garnish with fresh herbs and serve warm."
502,"Rustic Biryani #502",597,"Cheese, Lentils, Potato, Mushroom, Cumin, Yogurt, Onion","Indian","Non-Veg",54,40,18,34,11,4.2,"1. Start by prepping the Cheese and Lentils. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
503,"Gourmet Tandoori Chicken #503",546,"Tomato, Paneer, Carrot, Lentils, Turmeric, Spinach, Cumin, Shrimp","Indian","Non-Veg",52,18,25,74,13,4.1,"1. Start by prepping the Tomato and Paneer. 2. Heat a large pan with some oil and sauté the Carrot. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 26 minutes. 5. Garnish with fresh herbs and serve warm."
504,"Healthy Dal Makhani #504",800,"Yogurt, Carrot, Potato, Sugar","Indian","Non-Veg",55,23,9,85,10,4.7,"1. Start by prepping the Yogurt and Carrot. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Sugar and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
505,"Chef's Special Biryani #505",422,"Basil, Butter, Bell Pepper, Shrimp, Pork","Indian","Non-Veg",30,43,13,88,8,4.3,"1. Start by prepping the Basil and Butter. 2. Heat a large pan with some oil and sauté the Bell Pepper. 3. Add the Shrimp and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
506,"Chef's Special Hyderabadi Biryani #506",390,"Cumin, Thyme, Spinach, Garlic, Coriander, Milk, Onion, Soy Sauce","Indian","Non-Veg",73,37,24,38,11,4.1,"1. Start by prepping the Cumin and Thyme. 2. Heat a large pan with some oil and sauté the Spinach. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 36 minutes. 5. Garnish with fresh herbs and serve warm."
507,"Traditional Mutter Paneer #507",414,"Basil, Milk, Cheese, Cream, Oregano, Soy Sauce, Ginger","Indian","Veg",63,17,23,45,7,4.4,"1. Start by prepping the Basil and Milk. 2. Heat a large pan with some oil and sauté the Cheese. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
508,"Rustic Butter Chicken #508",635,"Flour, Turmeric, Oregano, Paneer, Garlic, Cheese, Onion, Spinach","Indian","Veg",57,7,28,33,3,4.5,"1. Start by prepping the Flour and Turmeric. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
509,"Rustic Masala Dosa #509",703,"Garam Masala, Chili, Chicken, Potato, Mushroom","Indian","Non-Veg",69,41,36,26,5,3.9,"1. Start by prepping the Garam Masala and Chili. 2. Heat a large pan with some oil and sauté the Chicken. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
510,"Modern Twist Pav Bhaji #510",636,"Pork, Pasta, Milk, Cream, Garlic, Lemon, Rice","Indian","Non-Veg",68,42,13,52,4,4.2,"1. Start by prepping the Pork and Pasta. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
511,"Chef's Special Rogan Josh #511",279,"Beans, Turmeric, Carrot, Cream, Chili","Indian","Non-Veg",17,22,15,51,8,4.4,"1. Start by prepping the Beans and Turmeric. 2. Heat a large pan with some oil and sauté the Carrot. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 8 minutes. 5. Garnish with fresh herbs and serve warm."
512,"Modern Twist Pav Bhaji #512",607,"Spinach, Carrot, Paneer, Coconut Milk, Basil, Pork, Chicken","Indian","Non-Veg",38,22,20,32,10,4.8,"1. Start by prepping the Spinach and Carrot. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
513,"Rustic Mutter Paneer #513",647,"Coconut Milk, Chicken, Garlic, Spinach, Pasta, Bell Pepper, Oregano","Indian","Non-Veg",15,45,14,31,4,3.9,"1. Start by prepping the Coconut Milk and Chicken. 2. Heat a large pan with some oil and sauté the Garlic. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 7 minutes. 5. Garnish with fresh herbs and serve warm."
514,"Quick Paneer Butter Masala #514",579,"Flour, Chili, Mushroom, Sugar","Indian","Non-Veg",67,29,38,60,11,4.8,"1. Start by prepping the Flour and Chili. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Sugar and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
515,"Modern Twist Pani Puri #515",145,"Onion, Lamb, Garam Masala, Lentils, Cream, Rice, Coconut Milk","Indian","Veg",29,22,8,53,3,3.8,"1. Start by prepping the Onion and Lamb. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 14 minutes. 5. Garnish with fresh herbs and serve warm."
516,"Healthy Pav Bhaji #516",884,"Pork, Rice, Olive Oil, Cheese, Cumin, Lemon","Indian","Veg",17,19,34,68,3,5.0,"1. Start by prepping the Pork and Rice. 2. Heat a large pan with some oil and sauté the Olive Oil. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 8 minutes. 5. Garnish with fresh herbs and serve warm."
517,"Gourmet Hyderabadi Biryani #517",710,"Mushroom, Lamb, Beans, Cream, Lentils, Potato, Ginger","Indian","Veg",74,5,6,32,10,4.1,"1. Start by prepping the Mushroom and Lamb. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
518,"Classic Aloo Gobi #518",446,"Basil, Sugar, Mushroom, Honey, Rice","Indian","Veg",57,15,26,46,7,4.1,"1. Start by prepping the Basil and Sugar. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
519,"Spicy Chana Masala #519",588,"Lemon, Beef, Oregano, Coconut Milk","Indian","Non-Veg",52,26,31,67,6,4.6,"1. Start by prepping the Lemon and Beef. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 26 minutes. 5. Garnish with fresh herbs and serve warm."
520,"Classic Aloo Gobi #520",113,"Paneer, Flour, Cream, Beans, Sugar, Shrimp, Bell Pepper, Butter","Indian","Veg",63,16,15,64,11,3.9,"1. Start by prepping the Paneer and Flour. 2. Heat a large pan with some oil and sauté the Cream. 3. Add the Beans and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
521,"Quick Mutter Paneer #521",384,"Thyme, Yogurt, Ginger, Lamb, Butter, Bell Pepper","Indian","Non-Veg",23,24,29,32,10,5.0,"1. Start by prepping the Thyme and Yogurt. 2. Heat a large pan with some oil and sauté the Ginger. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 11 minutes. 5. Garnish with fresh herbs and serve warm."
522,"Healthy Rogan Josh #522",441,"Bell Pepper, Cheese, Coconut Milk, Soy Sauce","Indian","Non-Veg",26,35,29,59,4,4.9,"1. Start by prepping the Bell Pepper and Cheese. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
523,"Gourmet Pani Puri #523",717,"Sugar, Soy Sauce, Spinach, Cream, Tomato","Indian","Veg",74,16,38,84,2,4.4,"1. Start by prepping the Sugar and Soy Sauce. 2. Heat a large pan with some oil and sauté the Spinach. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
524,"Gourmet Hyderabadi Biryani #524",287,"Pasta, Garlic, Shrimp, Oregano, Mushroom, Rice, Cream","Indian","Non-Veg",70,49,37,83,7,3.5,"1. Start by prepping the Pasta and Garlic. 2. Heat a large pan with some oil and sauté the Shrimp. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
525,"Healthy Biryani #525",156,"Basil, Mushroom, Butter, Potato, Soy Sauce, Beans, Chicken, Lamb","Indian","Veg",66,17,37,41,13,4.5,"1. Start by prepping the Basil and Mushroom. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
526,"Healthy Tandoori Chicken #526",788,"Egg, Thyme, Cumin, Onion, Garam Masala, Carrot","Indian","Non-Veg",68,47,13,46,10,3.6,"1. Start by prepping the Egg and Thyme. 2. Heat a large pan with some oil and sauté the Cumin. 3. Add the Onion and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
527,"Gourmet Chana Masala #527",432,"Onion, Beef, Lemon, Chicken, Pork, Soy Sauce","Indian","Veg",27,18,33,80,8,4.3,"1. Start by prepping the Onion and Beef. 2. Heat a large pan with some oil and sauté the Lemon. 3. Add the Chicken and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
528,"Traditional Chettinad Chicken #528",258,"Lemon, Cheese, Oregano, Coconut Milk, Pasta, Honey, Lamb","Indian","Non-Veg",27,37,14,36,5,4.3,"1. Start by prepping the Lemon and Cheese. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
529,"Rustic Masala Dosa #529",415,"Flour, Paneer, Lamb, Rice, Carrot, Garam Masala, Yogurt","Indian","Non-Veg",58,15,24,62,8,4.9,"1. Start by prepping the Flour and Paneer. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
530,"Homemade Vada Pav #530",486,"Lemon, Oregano, Pasta, Coconut Milk, Milk, Turmeric, Cheese","Indian","Veg",57,23,30,64,3,3.6,"1. Start by prepping the Lemon and Oregano. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
531,"Spicy Lamb Vindaloo #531",719,"Basil, Olive Oil, Tomato, Cream, Egg, Lemon, Bell Pepper","Indian","Veg",58,12,35,67,7,3.7,"1. Start by prepping the Basil and Olive Oil. 2. Heat a large pan with some oil and sauté the Tomato. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
532,"Classic Prawn Balchao #532",203,"Butter, Onion, Lamb, Turmeric","Indian","Veg",45,11,11,25,4,4.9,"1. Start by prepping the Butter and Onion. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Turmeric and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
533,"Rustic Fish Curry #533",196,"Onion, Rice, Spinach, Pork, Basil, Honey, Carrot","Indian","Veg",70,17,35,63,3,3.8,"1. Start by prepping the Onion and Rice. 2. Heat a large pan with some oil and sauté the Spinach. 3. Add the Pork and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
534,"Homemade Dhokla #534",845,"Olive Oil, Carrot, Flour, Shrimp, Sugar, Honey","Indian","Non-Veg",46,41,15,82,5,4.8,"1. Start by prepping the Olive Oil and Carrot. 2. Heat a large pan with some oil and sauté the Flour. 3. Add the Shrimp and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
535,"Homemade Mutter Paneer #535",699,"Shrimp, Onion, Chicken, Soy Sauce, Potato, Turmeric","Indian","Veg",48,11,39,26,9,4.4,"1. Start by prepping the Shrimp and Onion. 2. Heat a large pan with some oil and sauté the Chicken. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 24 minutes. 5. Garnish with fresh herbs and serve warm."
536,"Spicy Tandoori Chicken #536",130,"Potato, Mushroom, Carrot, Honey, Spinach, Cheese, Soy Sauce, Thyme","Indian","Veg",47,9,25,57,10,3.5,"1. Start by prepping the Potato and Mushroom. 2. Heat a large pan with some oil and sauté the Carrot. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
537,"Gourmet Pani Puri #537",565,"Onion, Flour, Thyme, Spinach, Olive Oil","Indian","Non-Veg",27,18,27,59,13,3.6,"1. Start by prepping the Onion and Flour. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
538,"Healthy Dhokla #538",801,"Beef, Chili, Lemon, Spinach, Chicken","Indian","Veg",45,12,6,87,9,4.2,"1. Start by prepping the Beef and Chili. 2. Heat a large pan with some oil and sauté the Lemon. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
539,"Chef's Special Pani Puri #539",747,"Soy Sauce, Yogurt, Beef, Honey, Mushroom, Lamb, Paneer","Indian","Non-Veg",37,48,35,82,13,5.0,"1. Start by prepping the Soy Sauce and Yogurt. 2. Heat a large pan with some oil and sauté the Beef. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
540,"Modern Twist Fish Curry #540",841,"Spinach, Coriander, Chicken, Milk","Indian","Veg",66,15,31,71,12,4.7,"1. Start by prepping the Spinach and Coriander. 2. Heat a large pan with some oil and sauté the Chicken. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
541,"Traditional Hyderabadi Biryani #541",421,"Cheese, Cream, Beans, Lentils, Shrimp, Flour, Carrot","Indian","Veg",71,12,32,23,2,4.8,"1. Start by prepping the Cheese and Cream. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
542,"Homemade Baingan Bharta #542",143,"Sugar, Beef, Butter, Spinach","Indian","Veg",64,23,34,86,12,4.6,"1. Start by prepping the Sugar and Beef. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 32 minutes. 5. Garnish with fresh herbs and serve warm."
543,"Rustic Vada Pav #543",503,"Tomato, Thyme, Turmeric, Honey, Chili","Indian","Non-Veg",42,43,15,31,9,4.4,"1. Start by prepping the Tomato and Thyme. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 21 minutes. 5. Garnish with fresh herbs and serve warm."
544,"Gourmet Tandoori Chicken #544",739,"Chicken, Flour, Milk, Basil, Potato, Chili, Lamb, Beans","Indian","Non-Veg",43,29,11,58,3,4.0,"1. Start by prepping the Chicken and Flour. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Basil and cook until tender. 4. Mix in the remaining ingredients and simmer for 21 minutes. 5. Garnish with fresh herbs and serve warm."
